Lat,Lng,Country,City,Max Temp,Humidity,Cloudiness,Wind Speed
64.38,-173.3,RU,provideniya,32,98,90,20.13
66.77,123.37,RU,zhigansk,-17.77,88,13,4.65
-33.65,115.33,AU,busselton,71.01,34,15,20.24
-28.77,114.6,AU,geraldton,75.2,38,100,16.11
-24.79,-50.01,BR,castro,63.59,99,56,3.56
-23.12,-134.97,PF,rikitea,80.15,82,45,10.63
-37.83,140.77,AU,mount gambier,77,41,75,11.41
68.75,161.3,RU,cherskiy,-1.03,95,100,7.61
72.79,-56.15,GL,upernavik,-6.61,52,88,7.83
-46.6,168.33,NZ,bluff,57,77,92,5.99
63.44,-20.27,IS,vestmannaeyjar,31.91,71,0,24.43
22.89,-109.91,MX,cabo san lucas,72,77,75,3.36
-54.8,-68.3,AR,ushuaia,53.6,58,40,3.42
-46.19,168.86,NZ,mataura,57,77,82,5.99
-33.59,26.89,ZA,port alfred,64.99,91,0,5.99
42.1,-79.24,US,jamestown,37.99,95,75,6.93
38.52,-28.7,PT,ribeira grande,58.37,91,48,12.19
-3.8,102.27,ID,bengkulu,83.39,83,98,5.79
-9.8,-139.03,PF,atuona,82.49,78,99,12.8
48.63,142.8,RU,makarov,32.99,75,92,14.52
-38,-57.56,AR,mar del plata,68,100,90,3.36
-42.78,147.06,AU,new norfolk,71.6,49,75,10.29
14.05,124.17,PH,pandan,79.97,75,5,14.65
71.29,-156.79,US,barrow,15.8,78,90,18.34
57.79,-152.41,US,kodiak,39.2,82,90,4.7
42.6,-73.97,US,albany,41,56,20,9.17
-16.48,-151.75,PF,faanui,83.57,70,100,5.66
70.47,-68.59,CA,clyde river,-16.6,75,90,14.99
40.6,-124.16,US,fortuna,46.4,87,90,18.34
-38.27,141.97,AU,codrington,65.39,69,100,8.05
-20.73,139.5,AU,mount isa,93.2,23,0,8.05
-21.36,55.77,RE,saint-philippe,86,69,40,3.36
48.28,41.05,RU,sholokhovskiy,40.73,53,0,5.57
-26.65,15.16,NA,luderitz,59,87,0,6.93
20.7,-105.2,MX,ixtapa,73.4,83,5,1.16
-2.02,147.27,PG,lorengau,81.05,80,100,12.82
64,44.45,RU,karpogory,30.47,96,100,10.54
-20.41,57.7,MU,mahebourg,82.4,78,40,6.93
-53.15,-70.92,CL,punta arenas,55.4,62,75,5.82
-34.48,-54.33,UY,rocha,63.59,92,100,8.7
-3.5,29.95,BI,gitega,64.67,88,100,1.83
-33.93,18.42,ZA,cape town,66.99,93,20,6.93
60,-1.25,GB,sandwick,41,80,73,26.4
52.63,126.75,RU,sivaki,29.21,92,100,8.57
22.93,57.53,OM,nizwa,75.47,22,0,4.54
73.51,80.55,RU,dikson,-5.89,99,97,5.97
-2.08,101.38,ID,sungaipenuh,76.01,82,65,1.23
-21.2,-175.2,TO,vaini,78.8,83,75,9.17
9.27,-9.02,GN,kerouane,70.97,87,24,4.07
22.08,-159.32,US,kapaa,75.2,88,90,11.41
27.98,-114.06,MX,guerrero negro,61.61,69,18,9.89
3.07,172.79,KI,butaritari,83.75,76,1,14.72
35.37,132.77,JP,izumo,60.8,48,20,18.34
46.43,26.4,RO,asau,42.01,82,18,5.82
32.87,59.22,IR,birjand,64.4,36,40,13.87
-29.68,-53.81,BR,santa maria,67.55,87,19,4.76
71.69,128.87,RU,tiksi,-28.21,88,0,7.83
5.67,73,MV,ugoofaaru,84.83,77,100,18.77
45.02,-93.22,US,saint anthony,39.99,64,90,5.82
-46.28,169.85,NZ,kaitangata,54.05,77,64,6.73
64.89,-23.71,IS,olafsvik,25.79,82,100,28.03
63.9,122.76,RU,kysyl-syr,-4.81,90,0,5.08
-34.53,20.04,ZA,bredasdorp,64,82,0,5.82
-21.21,-159.78,CK,avarua,80.6,88,100,14.99
57.05,54.92,RU,yelovo,30.11,90,77,11.61
36.62,-121.92,US,pacific grove,48,75,1,3.36
60.92,-46.05,GL,narsaq,14,36,79,10.29
24.58,80.83,IN,satna,84.65,17,0,4.74
65.61,-37.64,GL,tasiilaq,14,72,85,2.24
-20.01,57.66,MU,grand gaube,82.4,78,40,6.93
7.77,-72.22,VE,san cristobal,77,73,20,4.7
40.8,-124.16,US,eureka,46.4,75,90,5.82
34.64,-120.46,US,lompoc,46.99,87,1,5.35
43.21,-8.69,ES,carballo,50,100,0,2.24
37.1,-113.58,US,saint george,51.8,57,40,3.36
71.92,114.08,RU,saskylakh,-10.03,83,37,15.93
70.63,147.92,RU,chokurdakh,-18.31,92,71,10.67
50.23,-63.6,CA,havre-saint-pierre,30.2,92,90,13.87
19.73,-155.09,US,hilo,73.99,88,90,5.82
69.45,-133.04,CA,tuktoyaktuk,-7.6,76,40,11.41
25.3,73.93,IN,amet,84.47,15,0,9.26
71.97,102.5,RU,khatanga,-7.69,86,100,7.2
47.97,80.44,KZ,ayagoz,34.25,100,92,5.75
42.16,-72.33,US,palmer,42.8,56,1,14.99
0.42,33.17,UG,njeru,69.53,93,100,3.11
5.28,115.24,MY,labuan,89.6,55,75,3.36
-20.4,164.57,NC,pouebo,75.47,81,44,5.77
-9.08,143.21,PG,daru,85.19,64,14,8.12
-33.87,121.9,AU,esperance,73.4,31,40,24.16
69.38,178.42,RU,leningradskiy,26.51,76,100,8.68
38.73,-27.07,PT,praia da vitoria,60.8,82,20,15.86
2.03,103.33,MY,kluang,93,62,20,6.93
-1.2,-46.02,BR,carutapera,81.59,81,46,10.65
-16.62,-72.71,PE,camana,65.21,91,95,3
-19.52,45.47,MG,miandrivazo,81.05,72,44,0.76
41.37,-73.41,US,bethel,46.99,64,1,4.54
36.21,-115.98,US,pahrump,52,36,90,11.41
-0.74,-90.35,EC,puerto ayora,77,83,19,1.01
-34,24.73,ZA,kruisfontein,65.57,72,0,12.64
-23.32,-46.22,BR,santa isabel,69.8,100,40,0.76
25.52,90.22,IN,tura,88.43,22,0,7.36
4.38,-7.72,LR,harper,76.01,96,100,3.33
64.7,43.39,RU,pinega,30.11,95,100,9.69
44.65,-63.57,CA,halifax,35.01,97,90,11.41
-29.29,29.07,LS,mokhotlong,50.45,69,17,2.26
54.36,12.72,DE,barth,48,73,75,6.93
30.08,113.27,CN,fengkou,71.33,42,16,8.84
46.01,15.32,SI,sevnica,46.4,75,55,2.24
52.08,21.02,PL,piaseczno,46.99,93,67,2.24
43.97,7.78,IT,imperia,51.01,58,5,4.72
-22.67,167.48,NC,vao,76.91,73,29,18.72
52.32,-112.72,CA,stettler,7,83,94,1.99
70.86,29.09,NO,berlevag,31.01,86,100,11.01
71,24.66,NO,havoysund,30.2,74,75,6.93
54.43,31.9,RU,sobolevo,36.05,82,50,11.43
6.56,-5.02,CI,toumodi,78.8,88,90,9.17
67.45,153.68,RU,srednekolymsk,-2.83,90,82,5.61
43.55,13.17,IT,ancona,46.99,100,17,3.36
68.12,13.5,NO,gravdal,35.6,80,75,5.82
-4.27,-81.21,PE,el alto,75.47,76,81,3.22
-6.98,-34.83,BR,cabedelo,77,94,75,1.12
-38.95,-68.06,AR,neuquen,64.4,52,20,9.17
64.86,-147.8,US,college,32,95,90,0.92
-20.33,-40.29,BR,vila velha,77,94,40,3.36
